s,Symbol,Adj Close,Close,High,Low,Open,Volume
1/4/2016,MMM,98.21140289,122.7591934,124.0133743,121.571907,123.7876282,3919531
1/5/2016,MMM,98.63951874,123.2943115,123.3277588,121.7474899,122.7591934,3214968
1/6/2016,MMM,96.65280914,120.8110352,121.8729095,119.9163895,121.7307663,3584532
1/7/2016,MMM,94.29820251,117.8678894,119.673912,117.5836105,119.1638794,4249986
1/8/2016,MMM,93.9771347,117.4665527,119.1471558,117.2408066,118.1939774,3186144
1/11/2016,MMM,93.95705414,117.4414749,118.2525101,116.5635452,117.8678894,3319498
1/12/2016,MMM,94.22462463,117.7759171,118.8545151,116.3294296,118.1939774,2826746
1/13/2016,MMM,92.79312134,115.9866257,118.8879623,115.8361206,117.8010025,3107567
1/14/2016,MMM,94.43869019,118.0434799,119.0969925,116.1036758,116.8394623,4449598
1/15/2016,MMM,92.77305603,115.9615402,117.1404648,114.7240829,115.6354523,5601466
1/19/2016,MMM,92.57239532,115.710701,117.7257538,114.891304,117.1404648,4066161
1/20/2016,MMM,91.61582184,114.5150528,115.1755829,112.5752487,114.506691,4947015
1/21/2016,MMM,92.1509552,115.1839447,115.9448166,113.8377914,114.5150528,4012819
1/22/2016,MMM,93.32826233,116.6555176,117.4163895,115.4515076,117.173912,3563004
1/25/2016,MMM,92.02386475,115.0250854,116.530098,114.9916382,116.187294,3355378
1/26/2016,MMM,96.84680939,121.0535126,121.2541809,117.3327789,118.5535126,6134404
1/27/2016,MMM,97.36187744,121.6973267,123.7207336,120.4431458,121.1956482,4301294
1/28/2016,MMM,98.54585266,123.1772614,123.6120377,121.421402,122.2073593,3668610
1/29/2016,MMM,101.0075073,126.2541809,126.2541809,123.7458191,123.9464874,4775867
2/1/2016,MMM,99.48905945,124.3561859,125.2424774,123.8294296,124.8578568,3230994
2/2/2016,MMM,98.91377258,123.6371231,123.9799347,122.115387,123.4030075,4283833
2/3/2016,MMM,102.024292,127.5250854,127.8010025,124.5484924,124.8829422,6897093
2/4/2016,MMM,102.6396866,128.2943115,129.0802612,126.9063568,127.4414749,4136246
2/5/2016,MMM,102.6597366,128.319397,128.6622009,126.9397964,128.0936432,4028726
2/8/2016,MMM,102.9473953,128.6789246,129.1220703,126.2625427,126.7809372,2996458
2/9/2016,MMM,103.5092773,129.3812714,130.2341156,127.4665527,127.884613,3550206
2/10/2016,MMM,102.8599319,127.4665527,130.0083618,127.1906357,129.1220703,3482632
2/11/2016,MMM,101.6589355,125.9782639,127.0903015,124.5819397,125.3428116,3805911
2/12/2016,MMM,103.878746,128.7290955,128.8210754,125.9782639,125.9782639,2741471
2/16/2016,MMM,104.9380341,130.0418091,130.3511658,128.9799347,129.5986633,2560158
2/17/2016,MMM,105.6734619,130.9531708,131.3795929,130.1003265,130.4347839,2578696
2/18/2016,MMM,105.7814178,131.0869598,131.2458191,130.4096985,130.7274323,2404199
2/19/2016,MMM,105.5587692,130.8110352,131.3461609,130.3260803,131.2709045,2537075
2/22/2016,MMM,106.4021606,131.8561859,132.5083618,130.8110352,130.8110352,2640290
2/23/2016,MMM,105.3698349,130.5769196,131.8478241,129.740799,131.7976532,2299669
